stop_words,stop,language
yonder,1,english
other,1,english
our,1,english
ours,1,english
ourselves,1,english
she,1,english
some,1,english
such,1,english
youre,1,english
youve,1,english
youll,1,english
youd,1,english
that,1,english
their,1,english
theirs,1,english
them,1,english
shes,1,english
themselves,1,english
there,1,english
these,1,english
they,1,english
this,1,english
those,1,english
we,1,english
what,1,english
where,1,english
thatll,1,english
which,1,english
am,1,english
is,1,english
are,1,english
was,1,english
were,1,english
be,1,english
been,1,english
being,1,english
have,1,english
had,1,english
having,1,english
do,1,english
does,1,english
did,1,english
doing,1,english
an,1,english
the,1,english
and,1,english
but,1,english
if,1,english
or,1,english
because,1,english
who,1,english
until,1,english
while,1,english
of,1,english
at,1,english
by,1,english
for,1,english
with,1,english
about,1,english
against,1,english
between,1,english
into,1,english
through,1,english
during,1,english
before,1,english
after,1,english
above,1,english
below,1,english
to,1,english
from,1,english
up,1,english
down,1,english
in,1,english
out,1,english
on,1,english
off,1,english
over,1,english
under,1,english
again,1,english
further,1,english
then,1,english
once,1,english
here,1,english
when,1,english
whom,1,english
why,1,english
how,1,english
you,1,english
your,1,english
more,1,english
yours,1,english
yourself,1,english
nor,1,english
yourselves,1,english
only,1,english
own,1,english
same,1,english
so,1,english
than,1,english
too,1,english
very,1,english
s,1,english
t,1,english
can,1,english
will,1,english
just,1,english
don,1,english
dont,1,english
should,1,english
shouldve,1,english
now,1,english
d,1,english
ll,1,english
m,1,english
re,1,english
ve,1,english
ain,1,english
aren,1,english
arent,1,english
couldn,1,english
couldnt,1,english
didn,1,english
didnt,1,english
doesn,1,english
doesnt,1,english
hadn,1,english
hadnt,1,english
hasn,1,english
hasnt,1,english
haven,1,english
havent,1,english
isn,1,english
isnt,1,english
ma,1,english
mightn,1,english
mightnt,1,english
mustn,1,english
mustnt,1,english
needn,1,english
neednt,1,english
shan,1,english
shant,1,english
shouldn,1,english
shouldnt,1,english
wasn,1,english
wasnt,1,english
weren,1,english
werent,1,english
won,1,english
wont,1,english
wouldn,1,english
wouldnt,1,english
warm,1,english
needing,1,english
mother,1,english
wanted,1,english
comunica,1,spanish
cubierta,1,spanish
realizan,1,spanish
cambios,1,spanish
de,1,spanish
la,1,spanish
que,1,spanish
en,1,spanish
y,1,spanish
a,1,spanish
se,1,spanish
no,1,spanish
le,1,spanish
o,1,spanish
me,1,spanish
he,1,spanish
has,1,spanish
el,1,spanish
los,1,spanish
del,1,spanish
las,1,spanish
por,1,spanish
un,1,spanish
para,1,spanish
con,1,spanish
una,1,spanish
su,1,spanish
al,1,spanish
lo,1,spanish
como,1,spanish
más,1,spanish
pero,1,spanish
sus,1,spanish
ya,1,spanish
este,1,spanish
sí,1,spanish
porque,1,spanish
esta,1,spanish
entre,1,spanish
cuando,1,spanish
muy,1,spanish
sin,1,spanish
sobre,1,spanish
también,1,spanish
hasta,1,spanish
hay,1,spanish
donde,1,spanish
quien,1,spanish
desde,1,spanish
todo,1,spanish
nos,1,spanish
durante,1,spanish
todos,1,spanish
uno,1,spanish
les,1,spanish
ni,1,spanish
contra,1,spanish
otros,1,spanish
ese,1,spanish
eso,1,spanish
ante,1,spanish
ellos,1,spanish
e,1,spanish
esto,1,spanish
mí,1,spanish
antes,1,spanish
algunos,1,spanish
qué,1,spanish
unos,1,spanish
yo,1,spanish
otro,1,spanish
otras,1,spanish
otra,1,spanish
él,1,spanish
tanto,1,spanish
esa,1,spanish
estos,1,spanish
mucho,1,spanish
quienes,1,spanish
nada,1,spanish
muchos,1,spanish
cual,1,spanish
poco,1,spanish
ella,1,spanish
estar,1,spanish
estas,1,spanish
algunas,1,spanish
algo,1,spanish
nosotros,1,spanish
mi,1,spanish
mis,1,spanish
tú,1,spanish
te,1,spanish
ti,1,spanish
tu,1,spanish
tus,1,spanish
ellas,1,spanish
nosotras,1,spanish
vosotros,1,spanish
vosotras,1,spanish
os,1,spanish
mío,1,spanish
mía,1,spanish
míos,1,spanish
mías,1,spanish
tuyo,1,spanish
tuya,1,spanish
tuyos,1,spanish
tuyas,1,spanish
suyo,1,spanish
suya,1,spanish
suyos,1,spanish
suyas,1,spanish
nuestro,1,spanish
nuestra,1,spanish
nuestros,1,spanish
nuestras,1,spanish
vuestro,1,spanish
vuestra,1,spanish
vuestros,1,spanish
vuestras,1,spanish
esos,1,spanish
esas,1,spanish
estoy,1,spanish
estás,1,spanish
está,1,spanish
estamos,1,spanish
estáis,1,spanish
están,1,spanish
esté,1,spanish
estés,1,spanish
estemos,1,spanish
estéis,1,spanish
estén,1,spanish
estaré,1,spanish
estarás,1,spanish
estará,1,spanish
estaremos,1,spanish
estaréis,1,spanish
estarán,1,spanish
estaría,1,spanish
estarías,1,spanish
estaríamos,1,spanish
estaríais,1,spanish
estarían,1,spanish
estaba,1,spanish
estabas,1,spanish
estábamos,1,spanish
estabais,1,spanish
estaban,1,spanish
estuve,1,spanish
estuviste,1,spanish
estuvo,1,spanish
estuvimos,1,spanish
estuvisteis,1,spanish
estuvieron,1,spanish
estuviera,1,spanish
estuvieras,1,spanish
estuviéramos,1,spanish
estuvierais,1,spanish
estuvieran,1,spanish
estuviese,1,spanish
estuvieses,1,spanish
estuviésemos,1,spanish
estuvieseis,1,spanish
estuviesen,1,spanish
estando,1,spanish
estado,1,spanish
estada,1,spanish
estados,1,spanish
estadas,1,spanish
estad,1,spanish
ha,1,spanish
hemos,1,spanish
habéis,1,spanish
han,1,spanish
haya,1,spanish
hayas,1,spanish
hayamos,1,spanish
hayáis,1,spanish
hayan,1,spanish
habré,1,spanish
habrás,1,spanish
habrá,1,spanish
habremos,1,spanish
habréis,1,spanish
habrán,1,spanish
habría,1,spanish
habrías,1,spanish
habríamos,1,spanish
habríais,1,spanish
habrían,1,spanish
había,1,spanish
habías,1,spanish
habíamos,1,spanish
habíais,1,spanish
habían,1,spanish
hube,1,spanish
hubiste,1,spanish
hubo,1,spanish
hubimos,1,spanish
hubisteis,1,spanish
hubieron,1,spanish
hubiera,1,spanish
hubieras,1,spanish
hubiéramos,1,spanish
hubierais,1,spanish
hubieran,1,spanish
hubiese,1,spanish
hubieses,1,spanish
hubiésemos,1,spanish
hubieseis,1,spanish
hubiesen,1,spanish
habiendo,1,spanish
habido,1,spanish
habida,1,spanish
habidos,1,spanish
habidas,1,spanish
soy,1,spanish
eres,1,spanish
es,1,spanish
somos,1,spanish
sois,1,spanish
son,1,spanish
sea,1,spanish
seas,1,spanish
seamos,1,spanish
seáis,1,spanish
sean,1,spanish
seré,1,spanish
serás,1,spanish
será,1,spanish
seremos,1,spanish
seréis,1,spanish
serán,1,spanish
sería,1,spanish
serías,1,spanish
seríamos,1,spanish
seríais,1,spanish
serían,1,spanish
era,1,spanish
eras,1,spanish
éramos,1,spanish
erais,1,spanish
eran,1,spanish
fui,1,spanish
fuiste,1,spanish
fue,1,spanish
fuimos,1,spanish
fuisteis,1,spanish
fueron,1,spanish
fuera,1,spanish
fueras,1,spanish
fuéramos,1,spanish
fuerais,1,spanish
fueran,1,spanish
fuese,1,spanish
fueses,1,spanish
fuésemos,1,spanish
fueseis,1,spanish
fuesen,1,spanish
sintiendo,1,spanish
sentido,1,spanish
sentida,1,spanish
sentidos,1,spanish
sentidas,1,spanish
siente,1,spanish
sentid,1,spanish
tengo,1,spanish
tienes,1,spanish
tiene,1,spanish
tenemos,1,spanish
tenéis,1,spanish
tienen,1,spanish
tenga,1,spanish
tengas,1,spanish
tengamos,1,spanish
tengáis,1,spanish
tengan,1,spanish
tendré,1,spanish
tendrás,1,spanish
tendrá,1,spanish
tendremos,1,spanish
tendréis,1,spanish
tendrán,1,spanish
tendría,1,spanish
tendrías,1,spanish
tendríamos,1,spanish
tendríais,1,spanish
tendrían,1,spanish
tenía,1,spanish
tenías,1,spanish
teníamos,1,spanish
teníais,1,spanish
tenían,1,spanish
tuve,1,spanish
tuviste,1,spanish
tuvo,1,spanish
tuvimos,1,spanish
tuvisteis,1,spanish
tuvieron,1,spanish
tuviera,1,spanish
tuvieras,1,spanish
tuviéramos,1,spanish
tuvierais,1,spanish
tuvieran,1,spanish
tuviese,1,spanish
tuvieses,1,spanish
tuviésemos,1,spanish
tuvieseis,1,spanish
tuviesen,1,spanish
teniendo,1,spanish
tenido,1,spanish
tenida,1,spanish
tenidos,1,spanish
tenidas,1,spanish
tened,1,spanish
hello,1,english
okay,1,english
maam,1,english
bye,1,english
byebye,1,english
moment,1,english
ahead,1,english
else,1,english
oh,1,english
um,1,english
right,1,english
yeah,1,english
xx,1,english
xxxx,1,english
xxxxx,1,english
put,1,english
ok,1,english
im,1,english
umm,1,english
ill,1,english
hmm,1,english
thats,1,english
alright,1,english
mmm,1,english
morning,1,english
fine,1,english
somewhere,1,english
great,1,english
actually,1,english
mr,1,english
mam,1,english
worry,1,english
enjoy,1,english
likewise,1,english
enjoy,1,english
uh,1,english
huh,1,english
mm,1,english
whenever,1,english
welcome,1,english
hey,1,english
perfect,1,english
got,1,english
seek,1,english
really,1,english
cant,1,english
first,1,english
second,1,english
third,1,english
ready,1,english
thing,1,english
thingy,1,english
hi,1,english
sir,1,english
mam,1,english
theyre,1,english
x,1,english
xx,1,english
xxx,1,english
xxxxxx,1,english
xxxxxxx,1,english
xxxxxxxx,1,english
xxxxxxxxx,1,english
xxxxxxxxxx,1,english
xxxxxxxxxxx,1,english
xxxxxxxxxxxx,1,english
xxxxxxxxxxxxx,1,english
pretty,1,english
itll,1,english
ever,1,english
might,1,english
mhm,1,english
hmm,1,english
everything,1,english
everythings,1,english
theyre,1,english
already,1,english
ive,1,english
almost,1,english
wan,1,english
ta,1,english
yep,1,english
maybe,1,english
never,1,english
gon,1,english
important,1,english
previously,1,english
appreciate,1,english
wonder,1,english
wondering,1,english
oh,1,english
ohh,1,english
ohhh,1,english
ohhhh,1,english
ohhhhh,1,english
bless,1,english
little,1,english
love,1,english
mean,1,english
meanness,1,english
hate,1,english
darling,1,english
god,0,english
continuity,1,english
guess,1,english
hun,1,english
anywhere,1,english
hopefully,1,english
yesterday,1,english
tomorrow,1,english
whats,1,english
way,1,english
lot,1,english
fun,1,english
om,1,english
recently,1,english
iii,1,english
yall,1,english
sh,1,english
inc,1,english
rg,1,english
gix,1,english
curious,1,english
crazy,1,english
unless,1,english
dang,1,english
suppose,1,english
top,1,english
win,1,english
news,1,english
watch,1,english
change,1,english
close,1,english
man,1,english
woman,1,english
report,1,english
